user_id,name,description,top_user,followers_count,friends_count,statuses_count,location,gender,verified,verified_reason,birthday,created_at,sunshine_credit,company,school,label
5592704247,文教艺在线,CEA online,,31818,119,115972,北京,f,True,中国东方文化研究会文教艺术专业委员会,双子座,2015-04-22 02:27:57,信用较好,,,['视频累计播放量404.4万']
1967886847,山东交通出行,山东交通出行网是全省出行信息播报平台，信息服务包含高速公路实时路况、突发事件、高速出入口、养护施工及全省客运信息。,1,694398,764,102079,山东 济南,m,True,山东省交通运输厅公众出行平台,2006-07-18 巨蟹座,2011-02-14 09:16:32,信用较好,山东大成软件有限公司,,[]
2145917613,北京日报都视频,新闻及合作请发私信,1,1545535,1056,58773,北京,m,True,北京日报社视频官方账号,2001-05-28 双子座,2011-05-26 18:29:11,信用较好,,,"['昨日发博42，阅读数10万+，互动数375', '获赞赏次数36', '视频累计播放量23.27亿']"
2611704935,气象北京,"北京市气象局官方微博。风雨冷暖,气象贴心—早中晚为您奉送气象信息、最新预报、灾害天气预警和气象科普知识，希望能成为您生活和出行的好帮手。",1,3422449,167,82854,北京,m,True,北京市气象局官方微博,2012-02-10 水瓶座,2012-02-10 13:59:40,信用较好,,,['视频累计播放量8874.2万']
6868583654,北京广播电视台,,1,2494720,326,31509,其他,f,True,北京广播电视台官方微博, ,2018-11-30 16:28:28,信用较好,,,"['昨日发博33，阅读数10万+，互动数237', '视频累计播放量1.05亿']"
2373439427,保定晚报,本报长期征集新闻线索。希望有兴趣的读者朋友拨打电话3092073、3320078，把发生在您眼前、身边的适合以“组照”形式表现的新闻事件告诉我们，我们会力求在第一时间、第一现场为读者提供最快、最直观、最真实的图片新闻报道。线索一经采用，即付报酬。我们期待着您的来电。,1,984645,584,40292,河北,f,True,保定晚报编辑部官方微博,,2011-09-21 13:50:53,信用较好,保定日报社,,"['昨日发博19，阅读数1万+，互动数7', '视频累计播放量94.6万']"
6350851377,Outlier-w,,,3,49,69,山东,f,False,, ,2017-08-20 18:19:23,信用较好,,,[]
7750822151,新浪新闻滚动,,,435594,17,51364,北京,m,True,新浪新闻滚动官方微博,1970-01-01 摩羯座,2022-03-30 15:04:13,信用较好,,,"['昨日发博84，阅读数10万+，互动数51', '视频累计播放量285.8万']"
7032298195,ToniKr8s18,,,8,806,127,河北,m,False,,2001-11-30 射手座,2019-03-14 11:30:36,信用较好,,,['视频累计播放量2']
5816161945,北京大峰峰,接地气的资讯博主（北京）。微信公众号【北京这点事、京城大峰峰】合作推广请私信,1,380094,965,121830,北京,m,True,本地新势力博主,双子座,2015-12-30 20:54:20,信用极好,,,"['V指数 时事 82.07分', '热门社会时事博主 数据飙升', '视频号社会热点榜第50名', '微博旅行家 89.93分', '昨日发博96，阅读数100万+，互动数1.8万', '获赞赏次数549']"
